TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
ind,Greg Kite, C†,9,0,6.8,0.9,1.1,0.9,2.0,0.1,0.00,0.00,0.6,1.4,0.2,0.3,1.6,.214,0.0,0.0,.000,0.2,1.1,0.20,0.3,1.6,.214,.571,0.21
ind,Derrick McKey, F,81,81,34.6,13.3,1.5,3.3,4.9,3.4,1.54,0.60,2.1,3.2,1.6,5.1,10.3,.493,0.4,1.1,.360,2.7,3.7,0.74,4.7,9.2,.509,1.291,0.51
ind,LaSalle Thompson, C,38,3,11.9,2.9,0.7,1.6,2.3,0.5,0.47,0.26,0.9,2.0,0.5,1.3,3.1,.415,0.0,0.0,.000,0.4,0.4,0.88,1.3,3.1,.415,.949,0.42
ind,Mark Strickland, F,4,0,2.3,0.8,0.5,0.5,1.0,0.0,0.00,0.25,0.3,0.0,0.0,0.3,0.8,.333,0.0,0.0,.000,0.3,0.5,0.50,0.3,0.8,.333,1.000,0.33
ind,Rik Smits, C,78,78,30.5,17.9,2.5,5.2,7.7,1.4,0.51,1.01,2.4,3.6,0.6,7.2,13.6,.526,0.0,0.0,.000,3.6,4.8,0.75,7.2,13.6,.527,1.321,0.53
ind,Dale Davis, PF,74,70,31.7,10.6,3.5,5.9,9.4,0.8,0.97,1.57,1.7,3.0,0.5,4.4,7.8,.563,0.0,0.0,.000,1.9,3.5,0.53,4.4,7.8,.563,1.365,0.56
ind,Duane Ferrell, F,56,1,10.8,4.1,0.9,0.7,1.6,0.6,0.46,0.11,0.8,1.4,0.7,1.5,3.1,.480,0.0,0.1,.167,1.1,1.5,0.75,1.5,3.0,.491,1.335,0.48
mil,Eric Murdock, G,75,32,28.8,13.0,0.6,2.2,2.9,6.4,1.51,0.16,2.6,1.9,2.5,4.5,10.9,.415,1.2,3.2,.375,2.8,3.6,0.79,3.3,7.7,.432,1.200,0.47
mil,Alton Lister, C,60,32,12.9,2.8,1.1,2.8,3.9,0.2,0.27,0.95,0.6,2.4,0.3,1.1,2.2,.493,0.0,0.0,.000,0.6,1.2,0.50,1.1,2.2,.496,1.246,0.49
mil,Jon Barry, SG,52,0,11.6,3.7,0.3,0.7,0.9,1.6,0.58,0.08,0.8,1.0,2.1,1.1,2.6,.425,0.3,0.9,.333,1.2,1.5,0.76,0.8,1.7,.477,1.425,0.49
mil,Johnny Newman, F,82,11,23.1,7.7,0.9,1.2,2.1,1.1,0.84,0.16,1.0,2.9,1.1,2.8,6.0,.463,0.5,1.6,.352,1.7,2.1,0.80,2.3,4.4,.503,1.299,0.51
mil,Eric Mobley, F,46,26,12.8,3.9,1.2,2.1,3.3,0.5,0.17,0.59,0.5,1.4,0.9,1.7,2.9,.591,0.0,0.0,1.000,0.5,1.0,0.49,1.7,2.9,.585,1.364,0.60
mil,Glenn Robinson, SF,80,76,37.0,21.9,2.1,4.3,6.4,2.5,1.44,0.28,3.9,2.9,0.6,8.0,17.6,.451,1.1,3.4,.321,5.0,6.2,0.80,6.9,14.2,.482,1.245,0.48
mil,Aaron Williams, C,15,0,4.8,1.6,0.3,0.9,1.3,0.0,0.13,0.40,0.5,0.9,0.0,0.5,1.6,.333,0.0,0.1,.000,0.5,0.8,0.67,0.5,1.5,.348,1.000,0.33
mil,Tate George, G†,3,0,2.7,1.3,0.3,0.0,0.3,0.0,0.00,0.00,0.7,0.3,0.0,0.3,1.0,.333,0.0,0.3,.000,0.7,0.7,1.00,0.3,0.7,.500,1.333,0.33
mil,Ed Pinckney, F,62,17,13.5,2.3,1.0,2.4,3.4,0.3,0.55,0.27,0.4,1.0,0.8,0.8,1.6,.495,0.0,0.0,.000,0.7,1.0,0.71,0.8,1.6,.495,1.443,0.49
mil,Danny Young, G†,7,0,11.0,3.4,0.1,0.6,0.7,1.7,0.57,0.00,0.6,1.1,3.0,1.3,2.4,.529,0.7,1.7,.417,0.1,0.1,1.00,0.6,0.7,.800,1.412,0.68
mil,Lee Mayberry, G,82,50,21.3,5.8,0.3,0.7,1.0,3.4,0.62,0.05,1.3,1.5,2.6,2.1,5.0,.422,0.9,2.2,.407,0.7,1.0,0.70,1.2,2.8,.433,1.162,0.51
mil,Vin Baker, PF,82,82,41.0,17.7,3.5,6.8,10.3,3.6,1.05,1.41,2.7,3.4,1.3,7.2,15.0,.483,0.1,0.3,.292,3.1,5.3,0.59,7.1,14.7,.487,1.181,0.49
mil,Marty Conlon, F,82,3,25.2,9.9,2.0,3.2,5.2,1.3,0.51,0.22,1.5,2.7,0.9,4.2,7.9,.532,0.1,0.4,.276,1.5,2.4,0.61,4.1,7.5,.544,1.260,0.54
mil,Todd Day, G,82,81,33.1,16.0,1.2,2.8,3.9,1.6,1.27,0.77,1.9,3.5,0.9,5.4,12.8,.424,2.0,5.1,.390,3.1,4.2,0.75,3.4,7.7,.447,1.249,0.50
dal,Scott Brooks, G†,31,0,20.1,7.9,0.4,1.3,1.7,3.0,0.84,0.10,1.1,1.4,2.8,2.9,6.8,.433,0.5,1.7,.327,1.5,1.9,0.79,2.4,5.1,.468,1.167,0.47
dal,George McCloud, F,42,3,19.1,9.6,2.0,1.5,3.5,1.3,0.55,0.21,1.0,1.7,1.3,3.4,7.8,.439,0.8,2.1,.382,1.9,2.3,0.83,2.6,5.7,.460,1.226,0.49
dal,Roy Tarpley, C,55,1,24.6,12.6,2.6,5.6,8.2,1.1,0.82,1.00,2.0,2.8,0.5,5.3,11.1,.479,0.1,0.3,.278,1.9,2.2,0.84,5.2,10.8,.485,1.133,0.48
dal,Tony Dumas, G,58,0,10.6,4.6,0.6,0.5,1.1,1.0,0.22,0.07,0.9,1.3,1.1,1.7,4.3,.384,0.4,1.3,.301,0.9,1.3,0.65,1.3,3.0,.418,1.056,0.43
dal,Popeye Jones, PF,80,80,29.8,10.3,4.1,6.4,10.6,2.0,0.44,0.34,1.6,3.3,1.3,4.7,10.5,.443,0.0,0.2,.083,1.0,1.6,0.65,4.7,10.3,.449,.983,0.44
dal,Lorenzo Williams, C,82,81,29.1,4.0,3.5,4.9,8.4,1.5,0.63,1.80,1.3,3.7,1.2,1.8,3.7,.477,0.0,0.0,.000,0.5,1.2,0.38,1.8,3.7,.477,1.079,0.48
dal,Jason Kidd, PG,79,79,33.8,11.7,1.9,3.5,5.4,7.7,1.91,0.30,3.2,1.8,2.4,4.2,10.8,.385,0.9,3.3,.272,2.4,3.5,0.70,3.3,7.5,.433,1.076,0.43
dal,Terry Davis, C,46,2,12.6,3.0,1.4,2.0,3.4,0.2,0.13,0.07,0.7,1.7,0.3,1.1,2.5,.434,0.0,0.0,.000,0.9,1.4,0.64,1.1,2.5,.441,1.239,0.43
dal,Lucious Harris, SG,79,31,21.5,9.5,1.1,1.7,2.8,1.7,0.73,0.18,1.0,1.3,1.7,3.5,7.7,.459,0.7,1.8,.387,1.7,2.2,0.80,2.8,5.9,.481,1.231,0.50
