,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Ronnie Price,PG",,,,,,,398762,664209,1100000,1188000,1250000,1381250,,1146337,,915243
"Ronny Turiaf,C",,,,,,,,,,4500000,4140000,,319128,,1500000,
"Roshown McLeod,F",914000,978000,1509000,,,,,,,,,,,,,
"Roy Hibbert,C",,,,,,,,,,1465440,1575360,1685280,2588590,,14283844,14898938
"Royal Ivey,PG",,,,,,,641748,744551,770610,854957,1050000,1200000,1200000,854389,,
"Royce White,PF",,,,,,,,,,,,,,1645440,,
"Ruben Patterson,PF",,990000,,4992000,5447000,,6353200,6807000,,,,,,,,
"Rudy Fernandez,SG",,,,,,,,,1084080,1084080,1165320,1246680,2180443,2180443,,
"Rudy Gay,SF",,,,,,,,2242920,2411160,2579400,3280997,13603750,15032144,16460538,17888932,19317326
"Rudy Gobert,C",,,,,,,,,,,,,,,1078800,1127400
"Russell Westbrook,PG",,,,,,,,,,3493680,3755640,4017720,5082416,14693906,14693906,15719062
"Ryan Anderson,PF",,,,,,,,,,1225200,1317120,1409040,2244601,8700000,8308500,8491500
"Ryan Bowen,SF",,508000,630000,587000,,,900498,,770610,,825497,825497,825497,825497,,
"Ryan Gomes,SF",,,,,,,428762,,,3650000,3892500,4000000,4000000,4000000,,
"Ryan Hollins,C",,,,,,,,412718,,972581,2183333,2333333,248048,884293,,
"Ryan Kelly,PF",,,,,,,,,,,,,,,,1650000
"Ryan Reid,PF",,,,,,,,,,,,,475000,475000,,
"Salim Stoudamire,SG",,,,,,,675000,729000,783000,826269,884881,884881,884881,884881,,
"Sam Cassell,PG",3500000,3500000,4000000,4500000,,,6187500,6850000,199452,,,,,,,
"Sam Mitchell,F",,2100000,591000,,,,,,,,,,,,,
"Sam Young,SF",,,,,,,,,,,824200,886000,1184750,402065,,
"Samaki Walker,PF",,,1400000,1540000,,,,,,,,,,,,
"Samardo Samuels,PF",,,,,,,,,,,,500000,,,,
"Samuel Dalembert,C",,,771000,,887000,1600000,8477178,9464307,10251435,11238564,12025694,13428129,7000000,6698565,3700748,4051527
"Sarunas Jasikevicius,PG",,,,,,,4000000,4000000,,,,,,,,
"Sasha Pavlovic,SG",,,,,,,1274160,1962206,4250000,4500000,1500000,211084,,1232713,,
"Sasha Vujacic,SG",,,,,,,910440,973920,1756951,4524887,5000000,5475113,5475113,5475113,,
"Scot Pollard,C",,3922000,4344000,4827000,5310000,5792000,6274935,2200000,,,,,,,,
"Scott Burrell,G",,29000,,,,,,,,,,,,,,
"Scott Machado,PG",,,,,,,,,,,,,,473604,,
"Scott Padgett,PF",679000,730000,781000,1410000,2102000,,1600000,744551,,,,,,,,
"Scott Williams,C",3750000,4200000,4650000,,,,,,,,,,,,,
"Scottie Pippen,SF",14795000,13151000,18083000,19727000,,,,,,,,,,,,
"Scotty Hopson,SG",,,,,,,,,,,,,,,1388400,1450878
"Sean Colson,G",,83000,,,,,,,,,,,,,,
"Sean Elliott,F",,5333000,,,,,,,,,,,,,,
"Sean Marks,PF",,,566000,,,,719373,744551,770610,797581,825497,799105,799105,799105,,
"Sean May,C",,,,,,,1619280,1740720,1862160,2661027,825479,,,,,
"Sean Rooks,C",1920000,2160000,2400000,2640000,,,,,,,,,,,,
"Sean Williams,PF",,,,,,,,,1416600,1522920,1629120,1629120,49966,,,
"Sebastian Telfair,PG",,,,,,,1676280,1793160,2562426,2300000,,2700000,1567500,1567500,,915243
"Semih Erden,C",,,,,,,,,,,,,762195,762195,,
"Serge Ibaka,PF",,,,,,,,,,,1120200,1204200,1288200,12350000,12350000,12350000
"Sergei Monia,SF",,,,,,,1016400,,,,,,,,,
"Sergey Karasev,SG",,,,,,,,,,,,,,,1467840,1533840
"Sergio Rodriguez,PG",,,,,,,,760000,817000,874000,1576696,,,,,
"Seung Jin Ha,C",,,,,,,641748,,,,,,,,,
"Shabazz Muhammad,SF",,,,,,,,,,,,,,,1887120,1971960
"Shabazz Napier,PG",,,,,,,,,,,,,,,,1238640
"Shammond Williams,PG",,550000,1750000,1987000,,,,1750000,,,,,,,,
"Shandon Anderson,SF",,2200000,5500000,6100000,6700000,7300000,,,,,,,,,,
"Shane Battier,SF",,,2203000,2368000,2533000,3212000,4903000,5393300,5883600,6448900,6939200,7354500,3135000,3270000,3270000,
"Shane Larkin,PG",,,,,,,,,,,,,,,1536960,1606080
"Shannon Brown,PG",,,,,,,,971280,1044120,,1990000,2149200,3500000,3500000,188438,
"Shaquille O'Neal,C",17142000,19285000,21428000,23571000,26571000,29464000,20000000,20000000,21000000,21000000,21000000,1352181,1352181,,,
"Shareef Abdur-Rahim,PF",,,,,,,5000000,5400000,5800000,6200000,,,,,,
"Shaun Livingston,PG",,,,,,,3254880,3841920,4404629,854957,228226,3500000,3500000,773976,,
"Shavlik Randolph,PF",,,,,,,398762,1000000,1130000,,43703,992680,992680,163500,306037,1227985
"Shawn Bradley,C",,8370000,4155000,4675000,5194000,5714000,,,,,,,,,,
"Shawn Kemp,C",10780000,11720000,12770000,21500000,,,,,,,,,,,,
"Shawn Marion,SF",1546000,1662000,1778000,2265000,3069000,,13700000,15070000,16440000,17810000,6635068,7055500,8022449,8646364,9316796,
"Shawne Williams,SF",,,,,,,,1367760,1470360,1572960,2416067,854389,3135000,3135000,,1227985
"Shawnelle Scott,C",,,591000,,,,,,,,,,,,,
"Shelden Williams,C",,,,,,,,2952840,3174240,3395760,,,,,,
"Shelvin Mack,PG",,,,,,,,,,,,,,103121,884293,2433333
"Sherron Collins,PG",,,,,,,,,,,,473604,473604,473604,,
"Slava Kravtsov,C",,,,,,,,,,,,,,1500000,,
"Slava Medvedenko,PF",,,465000,,,,3000000,490528,,,,,,,,
"Smush Parker,PG",,,,,,,745248,798112,181320,,,,,,,
"Solomon Alabi,C",,,,,,,,,,,,670000,830000,830000,,
"Solomon Hill,SF",,,,,,,,,,,,,,,1246680,1302840
"Solomon Jones,PF",,,,,,,,675000,729000,,1620000,1500000,792377,792377,,
"Sonny Weems,SF",,,,,,,,,,442114,736420,,,,,
"Speedy Claxton,PG",,,1006000,1081000,1667000,2390000,3600000,6854546,6306182,5757818,5209454,5209454,5209454,5209454,,
"Spencer Dinwiddie,PG",,,,,,,,,,,,,,,,700000
"Spencer Hawes,PF",,,,,,,,,2028600,2180760,2332800,2974320,4051024,6500000,,5305000
"Stacey Augmon,SF",,,,2400000,2400000,,1138500,,,,,,,,,
"Stephane Lasme,PF",,,,,,,,,67844,,,,,,,
"Stephen Curry,PG",,,,,,,,,,,2710560,2913840,3117120,3958742,9887642,10629213
"Stephen Graham,SF",,,,,,,,,,826269,,992680,1106941,1106941,,
"Stephen Jackson,SF",,316000,,587000,,,5610000,6120000,6630000,7140000,7650000,8453250,1059750,10059750,,
"Stephon Marbury,PG",9000000,10130000,11250000,12375000,13500000,14625000,16453125,17184375,19012500,20840625,,,,,,
"Steve Blake,PG",,,,,,,1000000,1330000,4250000,4250000,4000000,4000000,,,4000000,2077000
"Steve Francis,PG",3020000,3246000,3473000,4383000,5720000,,13700000,15070000,2439333,2634480,,,,,,
"Steve Goodrich,F",,37000,389000,,,,,,,,,,,,,
"Steve Kerr,G",1968000,2200000,2406000,2625000,,,,,,,,,,,,
"Steve Nash,PG",5500000,5500000,5750000,5750000,5750000,5750000,9625000,10500000,11375000,12250000,13125000,10310938,11689062,9300500,9300500,9701000
"Steve Novak,SF",,,,,,,,600000,687456,,1031000,306575,,4054055,3750000,3445947
"Steve Smith,SG",7200000,8100000,9000000,9900000,,,,,,,,,,,,
"Steven Adams,C",,,,,,,,,,,,,,,2090880,2184960
"Steven Gray,G",,,,,,,,,,,,,,473604,,
"Steven Hunter,C",,,1037000,,,,2844828,3024000,3638600,3862600,3696000,,,,,
"Steven Smith,SF",,,,,,,,412718,,,,,,,,
"Stromile Swift,PF",,3164000,3401000,3656000,4614000,6022000,5000000,5400000,5800000,201741,,,,,,
"Sun Yue,SG",,,,,,,,,,,736420,736420,736420,736420,,
"Sundiata Gaines,PG",,,,,,,,,,,269169,112088,,,,
"T.J. Ford,PG",,,,,,,2303040,2929467,8275000,8000000,8500000,8500000,,,,
"T.J. Warren,SF",,,,,,,,,,,,,,,,1953120
"Taj Gibson,PF",,,,,,,,,,,1039800,1117680,1195680,7415730,7550000,
"Taj McCullough,NA",,,,,,,,,,442114,,,,,,
"Tarence Kinsey,SG",,,,,,,,412718,,,,855189,855189,,,
"Tariq Abdul-Wahad,SF",,,5062000,,,,,,,,,,,,,
"Taurean Green,PG",,,,,,,,427163,,,,,,,,
"Taylor Griffin,PF",,,,,,,,,,,457588,762195,762195,,,
"Tayshaun Prince,SF",,,,,,,1763115,7851240,8675620,9500000,10324380,11148760,6292135,6764045,7235955,7707865
"Terence Morris,F",,,490000,,,,745248,,,,,,,,,
"Terrel Harris,SG",,,,,,,,,,,,,,94154,,
"Terrell Brandon,PG",7400000,8325000,9250000,,,,,,,,,,,,,
"Terrence Jones,PF",,,,,,,,,,,,,,1485000,1551840,1618680
"Terrence Ross,SF",,,,,,,,,,,,,,2563320,2678640,2793960
"Terrence Williams,SG",,,,,,,,,,,2060040,2214480,254938,244710,,
"Terrico White,NA",,,,,,,,,,,,,788872,,,
"Terry Davis,C",,548000,,,,,,,,,,,,,,
"Terry Porter,G",2000000,2200000,2400000,,,,,,,,,,,,,
"Thabo Sefolosha,SG",,,,,,,,1679280,1805160,1931160,2759628,3250000,3300000,3900000,3900000,4150000
"Thaddeus Young,SF",,,,,,,,1830720,1830720,1968120,2105400,2901241,8039130,8289130,8850000,9410869
"Theo Ratliff,C",7031000,7800000,8593000,9375000,10156000,10937000,11666666,11666666,199452,,,,,,,
"Thomas Gardner,SG",,,,,,,,,,711517,,,,,,
"Thomas Robinson,PF",,,,,,,,,,,,,,3374640,3526440,3678360
"Tiago Splitter,PF",,,,,,,,,,,,3400000,3944000,3944000,10000000,9250000
"Tim Duncan,PF",,9658000,10865000,12072000,13279000,,15845157,17429673,19014188,20598704,22183220,18835381,21164619,9638554,10361446,10361446
"Tim Hardaway Jr.,SG",,,,,,,,,,,,,,,1196760,1250640
"Tim Hardaway,G",,12000000,3360000,3780000,,,,,,,,,,,,
"Tim James,F",728000,783000,837000,,,,,,,,,,,,,
"Tim Ohlbrecht,PF",,,,,,,,,,,,,,144867,,
"Tim Thomas,PF",,8507000,9675000,10750000,11825000,12900000,13975000,,,6049400,,,,,,
"Timofey Mozgov,C",,,,,,,,,,,,3567096,3343896,3140429,4400000,4650000
"Tobias Harris,SF",,,,,,,,,,,,,1418160,1545840,1545840,2380594
"Todd MacCulloch,C",,423000,550000,4991000,,,,,,,,,,,,
"Tom Gugliotta,PF",8558000,9336000,10113000,10890000,11668000,,,,,,,,,,,
"Tom Hammonds,F",,1130000,,,,,,,,,,,,,,
"Toney Douglas,PG",,,,,,,,,,,996240,1071000,1145640,2067880,1600000,
"Toni Kukoc,SF",,7167000,8050000,8050000,8050000,,,,,,,,,,,
"Tony Allen,SG",,,,,,,969600,1037280,1868141,2500000,2500000,,3150000,3300000,4494383,4831461
"Tony Battie,C",,3200000,3600000,4000000,4400000,4800000,5200000,5746000,5200000,5746000,6606600,,,,,
"Tony Delk,PG",,,,,2925000,,2925000,,,,,,,,,
"Tony Gaffney,SF",,,,,,,,,,,2692,762195,762195,,,
"Tony Massenburg,PF",,1360000,1500000,1636000,,,,,,,,,,,,
"Tony Mitchell,PF",,,,,,,,,,,,,,,500000,
"Tony Parker,PG",,,744000,800000,856000,1545000,8400000,9450000,10500000,11550000,12600000,13500000,12500000,12500000,12500000,12500000
"Tony Snell,SF",,,,,,,,,,,,,,1409040,1409040,1472400
"Tony Wroten,SG",,,,,,,,,,,,,,1110120,1160040,1210080
"Toure' Murry,SF",,,,,,,,,,,,,,,490180,1000000
"Tracy McGrady,SG",,9658000,10865000,12072000,13279000,14487000,15694250,16901500,18257750,20370437,22843124,,,,,
"Tracy Murray,SF",2720000,3060000,3400000,3740000,,,,,,,,,,,,
"Trajan Langdon,SG",1394000,1500000,1604000,,,,,,,,,,,,,
"Travis Best,PG",3250000,3250000,3250000,,,,,,,,,,,,,
"Travis Diener,PG",,,,,,,398762,,1500000,1620000,208802,208802,208802,208802,,
"Travis Knight,C",2800000,3200000,3600000,4000000,,,,,,,,,,,,
"Travis Leslie,PG",,,,,,,,,,,,,500000,,,
"Travis Outlaw,SF",,,,,,,1082160,1836426,4000000,,3600000,7000000,3000000,3000000,3000000,
"Trenton Hassell,SF",,,333000,512000,587000,,4350000,4350000,4350000,4350000,4350000,,,,,
"Trevor Ariza,SF",,,,,,,,3100000,3100000,3100000,5854000,6322320,6790640,7727280,7727280,8579089
"Trevor Booker,PF",,,,,,,,,,,,1204560,1294920,2350820,2350820,5000000
"Trey Burke,PG",,,,,,,,,,,,,,,2438760,2548560
"Trey Gilder,SF",,,,,,,,,,,457588,457588,457588,854389,,
"Trey Johnson,SG",,,,,,,,,,46917,,8967,,,,
"Trey Thompkins,PF",,,,,,,,,,,,,535000,,,
"Tristan Thompson,PF",,,,,,,,,,,,,3726600,3894240,4062000,5138430
"Troy Daniels,SG",,,,,,,,,,,,,,,158588,
"Troy Hudson,PG",,,,,,,5253000,5603000,,,,,,,,
"Troy Murphy,PF",,,1310000,1409000,1507000,2232000,7365079,8285714,9206349,10126984,11047619,216110,854389,839312,,
"Ty Lawson,PG",,,,,,,,,,,1438680,1546560,1654440,2544529,10786517,11595506
"Tyler Ennis,PG",,,,,,,,,,,,,,,,1590720
"Tyler Hansbrough,PF",,,,,,,,,,,1859160,1998600,2138040,3055259,3183000,3326235
"Tyler Honeycutt,SF",,,,,,,,,,,,,809875,809875,,
"Tyler Zeller,C",,,,,,,,,,,,,,1563120,1633440,1703760
"Tyreke Evans,SF",,,,,,,,,,,3610080,3880920,5251825,5250825,11796247,11265416
"Tyrone Hill,PF",6422000,7415000,6600000,6600000,,,,,,,,,,,,
"Tyrone Nesby,F",2716000,2990000,3260000,,,,,,,,,,,,,
"Tyronn Lue,PG",,865000,1714000,1885000,,,3500000,3500000,199452,2250000,,,,,,
"Tyrus Thomas,PF",,,,,,,,3260760,3505320,3749880,4743598,6611570,7305785,8000000,,
"Tyshawn Taylor,PG",,,,,,,,,,,,,473604,473604,,
"Tyson Chandler,C",,,2756000,,,,8299670,9150000,10500000,11350000,11700000,12600000,13107837,13604188,14100538,14846888
"Udonis Haslem,PF",,,,,,,5000000,,6050000,6575000,7100000,3500000,4060000,4340000,4340000,2732000
"Uros Slokar,PF",,,,,,,,412718,,,,,,,,
"Vassilis Spanoulis,PG",,,,,,,,1800000,1944000,,,,,,,
"Vernon Macklin,PF",,,,,,,,,,,,,473604,,,
"Vernon Maxwell,G",,161000,,,,,,,,,,,,,,
"Victor Alexander,F",,,591000,,,,,,,,,,,,,
"Victor Claver,PF",,,,,,,,,,,,,,1300000,1330000,1370000
"Victor Khryapa,PF",,,,,,,1095960,1172400,1928598,,,,,,,
"Victor Oladipo,SG",,,,,,,,,,,,,,4763760,4763760,4978200
"Vin Baker,PF",,,,,,,15750000,,,,,,,,,
"Vince Carter,SG",2267000,2425000,3073000,10625000,11953000,13281000,13843156,15101626,13325000,14724125,16123250,17522375,3000000,3090000,3180000,3911981
"Vinny Del Negro,G",1925000,2100000,2275000,,,,,,,,,,,,,
"Vitaly Potapenko,C",3810000,4286000,4762000,5238000,5715000,6191000,3325416,3674584,,,,,,,,
"Vitor Faverani,C",,,,,,,,,,,,,,,2000000,2090000
"Vlade Divac,C",8837000,9641000,10444000,11248000,12051000,,,,,,,,,,,
"Vladimir Radmanovic,SF",,,1452000,1561000,1670000,2301000,3166154,,5632200,,,6883800,,,,
"Vladimir Stepania,C",,,566000,637000,,,,,,,,,,,,
"Von Wafer,SG",,,,,,,,23443,,,,854389,1069509,1069509,,
"Vonteego Cummings,PG",2600000,757000,810000,,,,,,,,,,,,,
"Voshon Lenard,SG",,3780000,4252000,,,,3520000,,,,,,,,,
"Walker Russell,PG",,,,,,,,,,,,,374300,374300,,
"Wally Szczerbiak,SG",2011000,2162000,2313000,2933000,3912000,,10500000,11775000,12275000,13775000,,,,,,
"Walt Williams,F",3750000,4500000,,,,,,,,,,,,,,
"Walter Herrmann Heinrich,PF",,,,,,,,1800000,1944000,2000000,,,,,,
"Walter McCarty,PF",2500000,2812000,3125000,,,,1035000,,,,,,,,,
"Walter Sharpe,PF",,,,,,,,,,442114,,736420,736420,736420,,
"Wayne Ellington,SG",,,,,,,,,,,1003560,1078800,1154040,2083042,2652000,2771340
"Wayne Simien,PF",,,,,,,867720,932760,997800,,,,,,,
"Wesley Johnson,SF",,,,,,,,,,,,3726600,4006080,4285560,,
"Wesley Matthews,SG",,,,,,,,,,,,5765000,6505320,6505320,6875480,7245640
"Wesley Person,SF",4900000,5600000,6300000,7000000,7700000,,,,,,,,,,,
"Will Avery,G",1196000,1286000,1375000,,,,,,,,,,,,,
"Will Barton,SG",,,,,,,,,,,,,,550000,,
"Will Bynum,PG",,,,,,,,,,,,3250000,,3250000,2790343,2915908
"Will Cherry,PG",,,,,,,,,,,,,,,,495399
"Will Conroy,PG",,,,,,,,55839,687456,,,,,,,
"Willie Green,SG",,,,,,,,2800000,3094000,3388000,3682000,3976000,,1399507,1399507,1448490
"Willie Warren,SG",,,,,,,,,,,,500000,788872,,,
"Wilson Chandler,SF",,,,,,,,,1091640,1173480,1255440,2130482,5516664,5930414,6344164,6757913
"Xavier Henry,SF",,,,,,,,,,,,2020200,2171640,2323200,,1082000
"Xavier Silas,SG",,,,,,,,,,,,,11458,762195,,
"Yakhouba Diawara,SF",,,,,,,,,,875000,945000,,,,,
"Yao Ming,C",,,,,,,5594906,12455000,13762775,15070550,16378325,17686100,,,,
"Yaroslav Korolev,SF",,,,,,,1670000,1470000,,,,,,,,
"Yi Jianlian,PF",,,,,,,,,2777760,2986080,3194400,4050499,771706,771706,,
"Zabian Dowdell,PG",,,,,,,,,,,,186656,788872,788872,,
"Zach LaVine,PG",,,,,,,,,,,,,,,,2055840
"Zach Randolph,PF",,,1019000,1096000,1172000,1805000,10666667,12000000,13333333,14666667,16000000,17666666,15200000,16500000,18238333,16500000
"Zan Tabak,C",,1210000,,,,,,,,,,,,,,
"Zarko Cabarkapa,SF",,,,,,,1404360,2157097,,,,,,,,
"Zaza Pachulia,C",,,,,,,4000000,4000000,4000000,4000000,4750000,4251250,4750000,5248750,5200000,5200000
"Zeljko Rebraca,C",,,3500000,3850000,4200000,,3000000,3240000,,,,,,,,
"Zendon Hamilton,C",,,466000,,,,835810,,,,,,,,,
"ZhiZhi Wang,C",,,465000,,,,,,,,,,,,,
"Zoran Dragic,SG",,,,,,,,,,,,,,,,1500000
"Zoran Planinic,PG",,,,,,,1127280,1854376,,,,,,,,
"Zydrunas Ilgauskas,C",,10130000,,,13500000,,8743238,9442697,10142156,10841615,925000,1352181,1399507,1399507,,
